sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),DAQltime
4,11436,LH2,630,750,3.73929426529032,0.000158808434327,0.0109847,0
4,11500,LH2,630,750,3.73939135934783,0.000137485106405,0.00500944,0
4,11547,LH2,630,750,3.73915609475247,0.000171556775303,0.0061341,0
4,11548,LH2,630,750,3.73900990083333,7.35937091560823E-05,0.00550121,0
4,11573,LH2,0,750,3.73929966615763,0.000126757755023,0.0117094,0
4,11587,LH2,0,750,3.73916418583333,0.000174010973868,0.00792101,0
4,11588,LH2,0,750,3.73916862066667,0.000162260388693,0.00259923,0
4,11589,LH2,1050,750,3.73917440608696,0.000114018336793,0.00100384,0
4,11590,LH2,1050,750,3.73928821414634,0.000192766854575,0.00735889,0
4,11592,LH2,1050,750,3.73921241833333,0.000224043081051,0.00184626,0
4,11616,LH2,630,750,3.73934034174825,0.00015493812997,0.00739176,0
7,11989,LH2,1785,750,7.9311127523871,0.000333152429354,0.00130755,0
7,11990,LH2,1785,750,7.93106168114865,0.000409525537344,0.00198962,0
7,11991,LH2,1785,750,7.93119605727273,0.000436942889164,0.00229598,0
7,11992,LH2,1785,750,7.93124708333333,0.000105963780995,0.00160917,0
7,11993,LH2,1785,750,7.9308222403125,0.000750794173867,0.00113811,0
7,11994,LH2,1785,750,7.93112053788571,0.000582337097884,0.0236623,0
7,12000,LH2,1785,750,7.9306763837931,0.000891261168781,0.0223243,0
7,12008,LH2,1785,750,7.93081038064039,0.000790329822787,0.0253461,0
7,12022,LH2,1785,750,7.93088058075862,0.00061549340744,0.0321092,0
7,12035,LH2,1785,750,7.93062771605911,0.000477727886784,0.0318323,0
7,12049,LH2,1785,750,7.9305367725,0.000456208969701,0.034047,0
7,12052,LH2,1785,750,7.93053102,0.000249060051902,0.00875864,0
7,12053,LH2,1785,750,7.93045976409091,0.0002127279229,0.0335387,0
7,12058,LH2,1785,750,7.9311318288,0.000356348148057,0.022529,0
7,12064,LH2,1785,750,7.93104512216749,0.000475585546862,0.0348756,0
7,12072,LH2,1785,750,7.93099398518072,0.000561608020948,0.0327866,0
11,12313,LH2,2100,750,9.88872397979911,0.000267004612453,0.0460301,0
11,12320,LH2,2100,750,9.88919657718638,0.000379366929698,0.0313638,0
11,12335,LH2,2100,750,9.88882647345455,0.000287171053588,0.0240205,0
11,12336,LH2,2100,750,9.88896972906736,0.000336978951437,0.0385814,0
11,12340,LH2,2100,750,9.8890919402,0.000124300720241,0.0411478,0
11,12345,LH2,2100,750,9.88929296168539,0.000240374159138,0.0624247,0
11,12355,LH2,2100,750,9.88883116532974,0.000235029695472,0.0747418,0
11,12358,LH2,2100,750,9.88924075708709,0.00025986155512,0.0625424,0
11,12363,LH2,2100,750,9.88907438320895,0.000202379265873,0.0661583,0
11,12367,LH2,2100,750,9.88929646187134,0.000556428485054,0.0159026,0
11,12368,LH2,2100,750,9.88922462126316,0.000161196324098,0.00977882,0
11,12369,LH2,2100,750,9.88915624794661,0.000140107826979,0.0529442,0
11,12370,LH2,2100,750,9.88919722441247,0.000153573578019,0.0476794,0
11,12380,LH2,2100,750,9.88908231727273,0.000165963845032,0.0665846,0
11,12382,LH2,2100,750,9.88899043844037,0.000188021528113,0.0655388,0
11,12400,LH2,2100,750,9.8888835114978,0.000255582874907,0.0388633,0
11,12401,LH2,2100,750,9.88881679167002,0.000289701673943,0.0438347,0
11,12414,LH2,2100,750,9.88904613368795,0.000176342248279,0.0272987,0
11,12415,LH2,2100,750,9.88903831130137,0.000185753229597,0.0383723,0
11,12427,LH2,2100,750,9.8887959120332,0.000269463655251,0.0225132,0
11,12428,LH2,2100,750,9.88880053942584,0.00018295205684,0.0223449,0
11,12429,LH2,2100,750,9.88878152150376,0.000230610151168,0.0133734,0
11,12471,LH2,2100,750,9.88860919675799,0.000506849990715,0.0687635,0
11,12472,LH2,2100,750,9.88883480079208,0.000375903056352,0.00658696,0
11,12491,LH2,2100,750,9.88893922628571,0.000332975258328,0.00539796,0
11,12496,LH2,2100,750,9.88865537234482,0.000234915664548,0.047507,0
11,12497,LH2,2100,750,9.88859656064011,0.000268270552952,0.0744233,0
11,12524,LH2,2100,750,9.88906176176344,0.000216550483103,0.0365397,0
11,12525,LH2,2100,750,9.88902609673956,0.000205072441132,0.0566498,0
11,12526,LH2,2100,750,9.8890388270195,0.000254083845685,0.0389738,0
11,12548,LH2,2100,750,9.88908758014656,0.000161885392193,0.0628051,0
11,12561,LH2,2100,750,9.88886486218418,0.000230301997036,0.0693543,0
11,12563,LH2,2100,750,9.88879352183648,0.000198235416389,0.0688644,0
11,12575,LH2,2100,750,9.88858422296928,0.000247230833272,0.075274,0
11,12576,LH2,2100,750,9.88859895421053,0.000276939467007,0.0530236,0
11,12587,LH2,2100,750,9.88861767653514,0.000349452977688,0.0644463,0
11,12588,LH2,2100,750,9.88863217124533,0.000312027552446,0.0673718,0
11,12625,LH2,2100,750,9.88846714138381,0.000268240792011,0.0349493,0
11,12626,LH2,2100,750,9.88895107466851,0.000451205044357,0.0291036,0
11,12657,LH2,2100,750,9.88888276069231,0.00020961196751,0.0418818,0
11,12658,LH2,2100,750,9.88888927292887,0.000174605339982,0.0206506,0
11,12675,LH2,2100,750,9.88860449086378,0.000335352059984,0.0290791,0
11,12676,LH2,2100,750,9.88846093118557,0.000292042842301,0.033554,0
11,12677,LH2,2100,750,9.88862097537538,0.000383529027084,0.0297664,0
11,12691,LH2,2100,750,9.88893045335463,0.000227961620582,0.0314396,0
11,12692,LH2,2100,750,9.88894245976667,0.000213144295087,0.0307525,0
11,12704,LH2,2100,750,9.88912550128898,0.000158803228074,0.0534928,0
11,12705,LH2,2100,750,9.88915739958525,0.000160002057097,0.0204928,0
11,12716,LH2,2100,750,9.88911924596517,0.000135639303821,0.0712513,0
11,12730,LH2,0,750,9.88901630985537,0.000185037264865,0.0511156,0
11,12731,LH2,0,750,9.88898067654321,0.000157285981148,0.0718537,0
11,12747,LH2,2100,750,9.889239452,5.21152459824166E-05,0.00115951,0
11,12758,LH2,2100,750,9.88934955463415,0.000232593531032,0.0453372,0
11,12765,LH2,2100,750,9.88941094596774,0.000204894257268,0.0262135,0
11,12776,LH2,2100,750,9.8894230201501,0.000165912727651,0.0507478,0
11,12777,LH2,2100,750,9.88944149511327,0.000225336602587,0.0277777,0
11,12809,LH2,2100,750,9.88946675552356,0.000243415740264,0.0360143,0
11,12810,LH2,2100,750,9.88932656956896,0.000195444314567,0.0123868,0
11,12812,LH2,2100,750,9.88920606674074,0.000187190069392,0.0128231,0
11,12822,LH2,2100,750,9.88962866646302,0.000265669028109,0.0349274,0
11,12823,LH2,2100,750,9.88955189792793,0.00029304171904,0.0353483,0
11,12895,LH2,2100,750,9.88858444998478,0.000360299710072,0.0661107,0
11,12910,LH2,2100,750,9.889264046543,0.0002274340306,0.05959,0
11,12923,LH2,2100,750,9.88929359628499,0.000368624978668,0.0310937,0
11,12930,LH2,2100,750,9.88945318232877,0.000262815544823,0.0318675,0
11,12931,LH2,2100,750,9.88940635451155,0.000257259249253,0.0573409,0
11,12959,LH2,2100,750,9.88903314661742,0.000205597416118,0.122723,0
11,12960,LH2,2100,750,9.88893227315789,0.00023874574058,0.00204899,0
11,12973,LH2,2100,750,9.88888791697403,0.000416936289427,0.0698776,0
11,12974,LH2,2100,750,9.88915811819407,0.000188697189593,0.0785704,0
11,13027,LH2,2100,750,9.88848097833333,0.000371840123424,0.0696591,0
11,13028,LH2,2100,750,9.8885835541116,0.000309636019751,0.0682289,0
11,13041,LH2,2100,750,9.88892974844394,0.000539329923142,0.0394405,0
11,13042,LH2,2100,750,9.88890447279346,0.000619978604386,0.0708942,0
11,13043,LH2,2100,750,9.88891402846939,0.00033713795435,0.0303618,0
11,13056,LH2,2100,750,9.88890971068915,0.000218335720019,0.0665765,0
11,13057,LH2,2100,750,9.88885603974359,0.000189682841714,0.067772,0
14,13239,LH2,1470,750,5.98312127311927,0.000106098662693,0.00855728,0
14,13240,LH2,1470,750,5.98297313493827,0.000128592707142,0.00344171,0
14,13241,LH2,1470,750,5.9830579875,0.000204118325547,0.0151985,0
14,13242,LH2,1470,750,5.98305677419355,0.000447814449783,0.00632764,0
14,13243,LH2,1470,750,5.98332115268293,0.000179421021927,0.00704412,0
14,13244,LH2,1470,750,5.9832332168559,0.00014177112174,0.0130988,0
14,13312,LH2,1470,750,5.9829065283304,0.000312343536463,0.0410001,0
14,13313,LH2,1470,750,5.9828037143038,0.000202879916264,0.0416487,0
14,13320,LH2,1470,750,5.98324514755784,0.000267307997505,0.0135617,0
14,13321,LH2,1470,750,5.98269072675483,0.000399786486928,0.0719708,0
14,13345,LH2,1470,750,5.98278947428571,0.000415800117174,0.023673,0
14,13346,LH2,1470,750,5.9831798320398,0.000404708391108,0.0108656,0
14,13348,LH2,1470,750,5.98252097961631,0.000389370516203,0.0325123,0
14,13349,LH2,1470,750,5.98257948815739,0.000430759303221,0.0383572,0
14,13351,LH2,1470,750,5.9828922696897,0.00050465525634,0.0435162,0
14,13352,LH2,1470,750,5.98258476313008,0.000361499279631,0.0232246,0
14,13375,LH2,0,750,5.98257884465784,0.00038753296348,0.0611402,0
14,13376,LH2,0,750,5.98269185801572,0.000424497882585,0.0452497,0
14,13377,LH2,0,750,5.98245843105263,5.79437787759336E-05,0.00239158,0
14,13378,LH2,0,750,5.9826923707131,0.000306903461118,0.0595676,0
14,13379,LH2,1470,750,5.98275022735849,0.00030904193903,0.0923246,0
14,13396,LH2,1470,750,5.98260530593103,0.000366921320034,0.0144361,0
14,13397,LH2,1470,750,5.98255843462518,0.000342412045677,0.0730503,0
14,13405,LH2,1470,750,5.98252593547406,0.000354247490683,0.0566481,0
8,13450,LH2,1470,750,5.98257431354545,0.000229683440152,0.00319127,0
8,13451,LH2,1470,750,5.98272884264151,0.000330630393009,0.00172723,0
8,13452,LH2,1470,750,5.9825528445283,0.000471411052378,0.0095898,0
8,13459,LH2,0,750,5.98262966763838,0.000361877961448,0.0292071,0
8,13460,LH2,0,750,5.98266364868132,0.000357079483078,0.0287277,0
8,13461,LH2,0,750,5.9826054339,0.000229709802501,0.0291978,0
8,13463,LH2,0,750,5.98266972727273,0.000348601342062,0.030612,0
8,13464,LH2,0,750,5.98267401293478,0.000331135156611,0.0300583,0
8,13465,LH2,0,750,5.98278866821306,0.000366736791843,0.0281927,0
8,13466,LH2,0,750,5.98268954050388,0.00030161937716,0.0285182,0
8,13482,LH2,1470,750,5.98294387045267,0.000536165778343,0.00752672,0
8,13483,LH2,1470,750,5.98257941482063,0.000312656346229,0.0252414,0
8,13484,LH2,1470,750,5.98267960163935,0.00042166412632,0.0216758,0
8,13485,LH2,1470,750,5.98301584926829,0.00050684150509,0.0101412,0
8,13486,LH2,1470,750,5.9826591547957,0.00046951640999,0.0225405,0
8,13487,LH2,1470,750,5.98252207039823,0.000306064578136,0.0275672,0
8,13488,LH2,1470,750,5.9824763757907,0.000291847214489,0.0252415,0
8,13489,LH2,1470,750,5.9827038658125,0.000495126885628,0.0217904,0
8,13490,LH2,1470,750,5.9827582479288,0.000514272848443,0.0257141,0
8,13537,LH2,2100,750,5.98355740917591,0.000528965001675,0.0318802,0
8,13538,LH2,2100,750,5.98299543763293,0.001078177898147,0.0297049,0
8,13539,LH2,2100,750,5.98274535429245,0.00053427083015,0.0321627,0
8,13540,LH2,2100,750,5.98241697804469,0.000284736826773,0.0315247,0
8,13541,LH2,2100,750,5.9823952395203,0.000304693939011,0.0315946,0
8,13542,LH2,2100,750,5.98237016934783,0.000282915081465,0.0320255,0
8,13543,LH2,2100,750,5.98242822928339,0.000395984058281,0.0164379,0
8,13573,LH2,1470,750,5.98248413969551,0.000381595630486,0.0337481,0
8,13574,LH2,1470,750,5.98253168761755,0.000283149727204,0.0359635,0
8,13575,LH2,1470,750,5.98259792029086,0.000388786280177,0.0368658,0
8,13576,LH2,1470,750,5.98266807301834,0.000381191108993,0.0355275,0
8,13577,LH2,1470,750,5.9825784726129,0.000239874210951,0.036044,0
8,13578,LH2,1470,750,5.98256713682229,0.000318867964182,0.0362032,0
8,13580,LH2,1050,750,5.98244826665988,0.000125082745891,0.0304745,0
9,13656,LH2,1470,750,4.0268566366,9.18814342994951E-05,0.0119316,0
9,13657,LH2,1470,750,4.02677622265781,0.00013895156937,0.00484809,0
9,13663,LH2,1470,750,4.02682121323887,0.000139600905649,0.0294374,0
9,13676,LH2,1470,750,4.02678063106635,6.45091382505273E-05,0.0299769,0
9,13683,LH2,1470,750,4.02677407255269,5.42986945629408E-05,0.0465479,0
9,13696,LH2,1470,750,4.02670667489324,8.97034798926295E-05,0.0527743,0
9,13697,LH2,1470,750,4.02675986142857,5.02328440936704E-05,0.0397992,0
9,13719,LH2,1470,750,4.02685131462121,0.000233727188755,0.0551724,0
9,13720,LH2,1470,750,4.02689797843636,0.000127787352715,0.0309702,0
9,13730,LH2,1470,750,4.02703948526377,0.000161281872762,0.0873423,0
9,13747,LH2,1470,750,4.02668925173684,0.000567179593066,0.0897387,0
9,13768,LH2,1470,750,4.0266568667647,0.000668570649614,0.0514135,0
9,13769,LH2,1470,750,4.02670509654717,0.000623773031514,0.0491025,0
9,13795,LH2,1470,750,4.02692150714286,0.000333935400656,0.0476982,0
9,13796,LH2,1470,750,4.02696186526582,0.00023218770063,0.0490025,0
