kine,mag,target,bb_etot_over_p,hcale,coin,W2,bb_ps_e,bb_tr_vz,bb_gem_track_nhits,hcalon,xexp,yexp,dy,mag,tar,bb_grinch_tdc_clus_size,bb_grinch_tdc_clus_trackindex
4,30,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.02,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy_bc>-0.35&&dy_bc<0.25,mag==50,tar==0,,
4,50,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.02,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy_bc>-0.35&&dy_bc<0.25,mag==50,tar==0,,
4,30,ld2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.02,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<1.1,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy_bc>-0.35&&dy_bc<0.25,mag==30,tar==1,,
4,50,ld2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.02,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<1.1,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy_bc>-0.35&&dy_bc<0.25,mag==50,tar==1,,
8,0,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.02,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<1.0&&xexp>-1.9,yexp<0.65&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==0,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,50,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<1.5&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==50,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,70,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<1.5&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==70,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,100,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<1.0&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==100,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,0,ld2,bb_etot_over_p>0.84&&bb_etot_over_p<1.16,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.5&&W2<1.1,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<1.0&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==0,tar==1,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,50,ld2,bb_etot_over_p>0.84&&bb_etot_over_p<1.16,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.5&&W2<1.1,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<1.5&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==50,tar==1,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,70,ld2,bb_etot_over_p>0.84&&bb_etot_over_p<1.16,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.5&&W2<1.1,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.8&&xexp>-1.25,yexp<0.3&&yexp>-0.4,dy_bc>-0.35&&dy_bc<0.25,mag==70,tar==1,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
8,100,ld2,bb_etot_over_p>0.84&&bb_etot_over_p<1.16,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.5&&W2<1.1,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.8&&xexp>-0.8,yexp<0.5&&yexp>-0.5,dy_bc>-0.35&&dy_bc<0.25,mag==100,tar==1,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
9,70,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.5&&W2<1.1,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.7&&xexp>-0.7,yexp<0.3&&yexp>-0.4,dy_bc>-0.35&&dy_bc<0.25,mag==70,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
9,70,ld2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale_bc>0.055,coin_bc>-10.0&&coin_bc<10.0,W2>0.5&&W2<1.2,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon_bc==1,xexp<0.7&&xexp>-0.7,yexp<0.3&&yexp>-0.4,dy_bc>-0.35&&dy_bc<0.25,mag==70,tar==1,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0
